#,title,videoUrl,videoId,publishedAt,position
1,Introduction to Artificial Intelligence in Hindi | What is Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=saNiKk06f1Y&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=1,saNiKk06f1Y,2021-07-25T15:02:03Z,0
2,Applications of Artificial Intelligence ( AI ) in Hindi | Artificial Intelligence and Soft Computing,https://www.youtube.com/watch?v=U4t1qFteDjs&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=2,U4t1qFteDjs,2021-07-25T15:15:55Z,1
3,What is an Agent in Artificial Intelligence in Hindi | Artificial Intelligence & Soft Computing 🔥🔥,https://www.youtube.com/watch?v=Yp_EUYtNBb8&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=3,Yp_EUYtNBb8,2021-07-27T06:30:09Z,2
4,Types / Structure of agents in artificial intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=WNrymh1jzGk&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=4,WNrymh1jzGk,2021-08-11T14:30:11Z,3
5,Learning Agent in Artificial Intelligence [ AI ] in Hindi,https://www.youtube.com/watch?v=LAkscQo_Cak&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=5,LAkscQo_Cak,2021-08-12T14:30:05Z,4
6,What are Intelligent Agents in Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=s0pBNBGhAss&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=6,s0pBNBGhAss,2021-07-27T14:30:18Z,5
7,Problem Solving Agents in artificial intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=PLOtEiTjSt8&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=7,PLOtEiTjSt8,2021-08-16T14:30:08Z,6
8,What is Rational Agent in Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=SE8kwTr-nmc&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=8,SE8kwTr-nmc,2021-08-09T14:30:10Z,7
9,PEAS properties of agent in AI [ Artificial Intelligence ] 🔥🔥,https://www.youtube.com/watch?v=n8z9HNV__OA&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=9,n8z9HNV__OA,2021-08-10T14:30:08Z,8
10,What is Computing? [ In Hindi ] 🔥🔥,https://www.youtube.com/watch?v=y3k-Cqgo3_k&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=10,y3k-Cqgo3_k,2021-10-13T15:58:20Z,9
11,What is Hard Computing? [ In Hindi ] 🔥🔥,https://www.youtube.com/watch?v=Supt_9NuyPQ&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=11,Supt_9NuyPQ,2021-10-13T16:03:07Z,10
12,Hard Computing vs Soft Computing in Artificial Intelligence in Hindi,https://www.youtube.com/watch?v=uild0fffeZc&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=12,uild0fffeZc,2021-08-15T14:30:06Z,11
13,Uninformed search in artificial intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=ZjPXeJaGEus&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=13,ZjPXeJaGEus,2021-08-19T14:30:08Z,12
14,Breadth First Search [ BFS ] in artificial intelligence * With Algorithm * 🔥🔥,https://www.youtube.com/watch?v=v6aD3bS90MY&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=14,v6aD3bS90MY,2021-08-20T14:30:18Z,13
15,Depth First Search in Artificial Intelligence in Hindi * With Algorithm *,https://www.youtube.com/watch?v=axtcFOsKlGM&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=15,axtcFOsKlGM,2021-08-21T14:30:00Z,14
16,Depth Limited Search in Artificial Intelligence in Hindi,https://www.youtube.com/watch?v=v3GCQ1Y-1dI&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=16,v3GCQ1Y-1dI,2021-08-22T14:30:32Z,15
17,Iterative Deepening Depth First Search in Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=ubsBoqXnvfE&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=17,ubsBoqXnvfE,2021-08-23T14:30:07Z,16
18,Breadth First Search vs Depth First Search in Hindi * BFS vs DFS in Hindi *,https://www.youtube.com/watch?v=bxtHSQzrM6A&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=18,bxtHSQzrM6A,2021-08-24T14:30:05Z,17
19,Bidirectional Search in Artificial Intelligence in Hindi,https://www.youtube.com/watch?v=GZS6UFrzoTo&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=19,GZS6UFrzoTo,2021-08-25T06:30:03Z,18
20,Uniform Cost Search in Artificial Intelligence in Hindi * With solved examples *,https://www.youtube.com/watch?v=y2mURT15rgQ&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=20,y2mURT15rgQ,2021-09-01T06:30:11Z,19
21,Best First Search Algorithm in Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=MboFR7C8gNQ&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=21,MboFR7C8gNQ,2021-08-25T14:30:10Z,20
22,Hill Climbing in Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=1w-2fJAYNmE&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=22,1w-2fJAYNmE,2021-08-26T07:05:31Z,21
23,A* Algorithm 🔥,https://www.youtube.com/watch?v=pZO1CwGsHzY&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=23,pZO1CwGsHzY,2024-04-16T14:30:17Z,22
24,Heuristic Search & Function in Artificial Intelligence in Hindi 🔥🔥,https://www.youtube.com/watch?v=E48Hn3nfCqg&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=24,E48Hn3nfCqg,2021-08-24T06:30:01Z,23
25,8 Puzzle problem in Artificial Intelligence in Hindi,https://www.youtube.com/watch?v=r14GPj1YcCQ&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=25,r14GPj1YcCQ,2021-08-17T14:30:08Z,24
26,Vacuum Cleaner Problem in Artificial Intelligence in Hindi,https://www.youtube.com/watch?v=KX09yGiPW70&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=26,KX09yGiPW70,2021-08-18T14:30:05Z,25
27,Water Jug Problem 🔥,https://www.youtube.com/watch?v=PWly9QlfgXs&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=27,PWly9QlfgXs,2024-04-15T14:30:13Z,26
28,WUMPUS World Problem in Artificial Intelligence,https://www.youtube.com/watch?v=SHfP8SPOEEw&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=28,SHfP8SPOEEw,2021-08-27T06:30:04Z,27
29,Min Max Algorithm 🔥,https://www.youtube.com/watch?v=g6W_s-QTILc&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=29,g6W_s-QTILc,2024-04-17T14:30:12Z,28
30,Alpha Beta Pruning 🔥,https://www.youtube.com/watch?v=6qJtngq24r8&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=30,6qJtngq24r8,2024-04-17T17:05:45Z,29
31,Knowledge Based Agents in Artificial Intelligence in Hindi,https://www.youtube.com/watch?v=a_bXNyCR5Vs&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=31,a_bXNyCR5Vs,2021-08-26T14:30:00Z,30
